model_id,boundary,backend,artifact_stage,status,reason,item_id,expectation,artifact_path,receipt_path,identity,evidence_origin,compiler_dispatch_allowed,runtime_artifact_available
yolo26m,b398,hailo8,part1,KNOWN_INFEASIBLE,exact_deterministic_outcome,b398:part1,unspecified,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/yolo26m/benchmark_set/legacy_suite/b398/hailo/hailo8/part1/compiled.hef,,bfbfcfe52cb1b11b55cc4198c7371a64a0039db3648b313575bd190fda8303c1,"{""coordinates"": {""boundary"": 398, ""hw_arch"": ""hailo8"", ""model"": ""yolo26m"", ""stage"": ""part1""}, ""immutable_attempt_sha256"": ""099c550d3e170e57e88bb92618ea86838f5d97723d1b14dedc511fd589ddaf54"", ""kind"": ""external_review_of_v2_terminal_and_v3_request"", ""request"": ""models/yolo26m/benchmark_set/legacy_suite/_rejected_cases/b398/hailo/hailo8/part1/hailo_cache_miss.json"", ""request_sha256"": ""10e19eebd8309985e309b9cb8f85b2f97fe73cd14bf10854b39433421b2917e1"", ""result"": ""models/yolo26m/benchmark_set/legacy_suite/_rejected_cases/b398/hailo/hailo8/part1/hailo_hef_build_result.json"", ""result_sha256"": ""c34f13326d9d7e8739a724d688187191c17b060d4b1a2d3537a50a686e37b9e5"", ""split_manifest"": ""models/yolo26m/benchmark_set/legacy_suite/_rejected_cases/b398/split_manifest.json"", ""split_manifest_sha256"": ""a7490dc2aac980e4272c4cab81e467c95f3283a33d09957f41a7531bd90bf204"", ""terminal"": ""models/yolo26m/benchmark_set/legacy_suite/_rejected_cases/b398/hailo/hailo8/part1/hailo_attempt_receipts/terminal_attempt.json"", ""terminal_sha256"": ""89bf587f80e5d7dd18898ffb60a8f9bfc166ca50d3f9823a7f7d8a68c15886e0""}",False,False
yolo26m,b398,hailo10h,part1,HIT,existing_hailo_receipt_valid,b398:part1,unspecified,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/yolo26m/benchmark_set/legacy_suite/b398/hailo/hailo10/part1/compiled.hef,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/yolo26m/benchmark_set/legacy_suite/b398/hailo/hailo10/part1/.hailo-generations/6d05313c555e4874a3e42f5c8edb2c85/hailo_hef_build_receipt.json,8d6f27731ad46631ed2c924418f1acabf2a1f828c46a1fc7b26d2127ea44b044,,False,True
yolo26m,b398,deepx,part1,UNKNOWN,required_artifact_cache_probe_missing,b398:part1,unspecified,,,,,False,False
yolo26m,b398,tensorrt,part2,HIT,compatible_receipt,orin_nx_deepx_m1_01/b398,unspecified,/home/nx/splitpoint_runs/_onnx_splitpoint_cache/tensorrt_managed_v27516/yolo26m-8f895feae71fe4d4/splits/b398/part2/179287d1cefdc2b41dfe9de028fca8afb79e1702cf6b6c10521c1b3cfdf051a5/fp16/part2_fp16.engine,/home/nx/splitpoint_runs/_onnx_splitpoint_cache/tensorrt_managed_v27516/yolo26m-8f895feae71fe4d4/splits/b398/part2/179287d1cefdc2b41dfe9de028fca8afb79e1702cf6b6c10521c1b3cfdf051a5/fp16/engine_build_receipt.json,6856284ce36f33448c8b5e30a6d9ed0198004172e21aea92d139a40c88241fb7,,False,True
yolo26m,b398,tensorrt,part2,MISS,not_found,orin_nx_hailo10_01/b398,unspecified,,,,,True,False
yolo26m,b398,tensorrt,part2,HIT,compatible_receipt,orin_nx_hailo8_01/b398,unspecified,/home/nx/splitpoint_runs/_onnx_splitpoint_cache/tensorrt_managed_v27516/yolo26m-8f895feae71fe4d4/splits/b398/part2/179287d1cefdc2b41dfe9de028fca8afb79e1702cf6b6c10521c1b3cfdf051a5/fp16/part2_fp16.engine,/home/nx/splitpoint_runs/_onnx_splitpoint_cache/tensorrt_managed_v27516/yolo26m-8f895feae71fe4d4/splits/b398/part2/179287d1cefdc2b41dfe9de028fca8afb79e1702cf6b6c10521c1b3cfdf051a5/fp16/engine_build_receipt.json,982a85529ef987780908baca803998fda66821a67a7179874e43260210ff289c,,False,True
yolo26m,full,hailo8,full,HIT,existing_hailo_receipt_valid,full,unspecified,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/yolo26m/benchmark_set/legacy_suite/hailo/hailo8/full/.hailo-generations/082bc41fdc25461c8053ed94913d3231/compiled.hef,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/yolo26m/benchmark_set/legacy_suite/hailo/hailo8/full/.hailo-generations/082bc41fdc25461c8053ed94913d3231/hailo_hef_build_receipt.json,de61240b4ba10870f4a7bf70da007675c66cbb4fbc6f086bf06e65d12e8790ae,,False,True
yolo26m,full,hailo10h,full,HIT,existing_hailo_receipt_valid,full,unspecified,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/yolo26m/benchmark_set/legacy_suite/hailo/hailo10/full/.hailo-generations/8edcb56f086543718c45b1b9bd71703d/compiled.hef,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/yolo26m/benchmark_set/legacy_suite/hailo/hailo10/full/.hailo-generations/8edcb56f086543718c45b1b9bd71703d/hailo_hef_build_receipt.json,aa558d195db954130c0892b3432b83dbfbca0110c6de62824e306379dc8d61e1,,False,True
yolo26m,full,deepx,full,HIT,artifact_identity_verified,full,unspecified,/home/kmika/Models/BackendArtifacts/deepx/deepx_m1_full_d1c6a922dd92f896_958dacf708b58fc3/model.dxnn,,deepx_m1_full_d1c6a922dd92f896_958dacf708b58fc3,,False,True
yolo26m,full,tensorrt,full,HIT,compatible_receipt,orin_nx_deepx_m1_01/full,unspecified,/home/nx/splitpoint_runs/_onnx_splitpoint_cache/tensorrt_managed_v27516/yolo26m-8f895feae71fe4d4/full/d1c6a922dd92f896c69e2f6767ea3ca23fac0e53e5ac69681965eb8a74cda897/fp16/full_fp16.engine,/home/nx/splitpoint_runs/_onnx_splitpoint_cache/tensorrt_managed_v27516/yolo26m-8f895feae71fe4d4/full/d1c6a922dd92f896c69e2f6767ea3ca23fac0e53e5ac69681965eb8a74cda897/fp16/engine_build_receipt.json,7fb793d0b1374fa40e24def816820eb91ba4e6092d0963fa9233ba26decc1489,,False,True
