manual_relative_path	family	classification	selected	run_dirs	valid_runs	valid_parquets	valid_parquet_bytes	small_or_bad_parquets	positive_summary_files	explicit_failure_files	copied_files	copied_bytes	reason
orin_nx_hailo10_01/native_native_full_hailo10h_yolo26s_full/20260710_011131	-	REVIEW_VALID_UNCURATED	False	3	3	3	2009503	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_native_full_hailo10h_yolo26s_full/20260710_161510	-	REVIEW_VALID_UNCURATED	False	3	3	3	2009499	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_native_full_hailo10h_yolo26s_full/20260711_005104	-	REVIEW_VALID_UNCURATED	False	3	3	3	2009635	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_native_full_hailo10h_yolo26s_full/20260717_080657	-	REVIEW_VALID_UNCURATED	False	3	3	3	2009311	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_native_full_hailo10h_yolo26s_full_orin_nx_hailo10_01/20260717_213227	-	REVIEW_VALID_UNCURATED	False	1	1	1	669937	0	3	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_native_full_hailo10h_yolo26s_full_orin_nx_hailo10_01/20260718_072234	-	REVIEW_VALID_UNCURATED	False	1	1	1	669933	0	3	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_native_full_tensorrt_resnet50_full/20260717_081036	resnet50_tensorrt_full	SUPERSEDED_VALID_KNOWN_FAMILY	False	3	3	3	1955728	0	5	0	0	0	3 run(s) with nontrivial Parquet and positive energy; a stronger package of the same family was selected
orin_nx_hailo10_01/native_native_full_tensorrt_resnet50_full_orin_nx_hailo10_01/20260717_212955	resnet50_tensorrt_full	SUPERSEDED_VALID_KNOWN_FAMILY	False	1	1	1	685873	0	3	0	0	0	1 run(s) with nontrivial Parquet and positive energy; a stronger package of the same family was selected
orin_nx_hailo10_01/native_native_full_tensorrt_resnet50_full_orin_nx_hailo10_01/20260718_072003	resnet50_tensorrt_full	SUPERSEDED_VALID_KNOWN_FAMILY	False	1	1	1	685885	0	3	0	0	0	1 run(s) with nontrivial Parquet and positive energy; a stronger package of the same family was selected
orin_nx_hailo10_01/native_native_full_tensorrt_yolo26s_full/20260717_081753	-	REVIEW_VALID_UNCURATED	False	3	3	3	1955732	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
